,Date,Report Time,Incident Time,Nearest Address to Incident,Incident Category,Incident Summary,Incident Alert,Alert Type,Incident ID,Alert ID,Google Address,geometry
0,2023-07-15,17:51:00,17:09:00,4500 Block of University Way NE,Car Theft/Collision,"Investigating car theft that led to a collision with no reported injuries, causing traffic delays.","UPDATE at 5:51 p.m.: University Way NE has reopened to traffic. 

Police investigating a car theft the led to a collision in the 4500 block of University Way NE. No injuries reported at this time. Please stay out of the area. Expect traffic delays. More information when available.

- Seattle Police Dept. (@SeattlePD) July 15, 2023

5:09 p.m.: Seattle police have closed University Way NE between 45th Street and 47th Street as officers investigate following the arrest of a man who was driving erratically and possibly involved in a burglary outside of the immediate area. There's no current threat.",Update,1,1,"4512, 4500 University Way NE, Seattle, WA 98105, USA","{'bounds': {'northeast': {'lat': 47.6615853, 'lng': -122.3126063}, 'southwest': {'lat': 47.661361, 'lng': -122.3130255}}, 'location': {'lat': 47.66144550000001, 'lng': -122.3128352}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6628221302915, 'lng': -122.3115220697085}, 'southwest': {'lat': 47.6601241697085, 'lng': -122.3142200302915}}}"
1,2023-05-31,19:50:00,19:15:00,4700 block of University Way,Robbery,Theft of phone and sneakers from two men and a woman.,"UPDATE June 1, 2023: Police are still searching for the four robbery suspects and their vehicle. They were described as wearing all black, with black balaclava masks covering their faces. They reportedly stole a phone and a pair of sneakers from two men and a woman.",Update,1,2,"4700 University Way NE, Seattle, WA 98105, USA","{'location': {'lat': 47.6632189, 'lng': -122.3128624}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6646041802915, 'lng': -122.3116406197085}, 'southwest': {'lat': 47.6619062197085, 'lng': -122.3143385802915}}}"
2,2023-05-31,19:50:00,19:15:00,4700 block of University Way,Robbery,Four men reportedly involved in a robbery and an SUV was involved.,UPDATE at 7:50 p.m.: Police have not yet located the four men reportedly involved in the robbery or their SUV. The University Way area is open.,Update,1,3,"4700 University Way NE, Seattle, WA 98105, USA","{'location': {'lat': 47.6632189, 'lng': -122.3128624}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6646041802915, 'lng': -122.3116406197085}, 'southwest': {'lat': 47.6619062197085, 'lng': -122.3143385802915}}}"
3,2023-05-31,19:33:00,19:15:00,4700 block of University Way,Robbery,Handgun displayed,UPDATE at 7:33 p.m.: A handgun was displayed during the robbery. The SUV is described as a dark blue or black Ford Explorer. The men were described as being teenagers or in their 20s. No one was injured.,Update,1,4,"4700 University Way NE, Seattle, WA 98105, USA","{'location': {'lat': 47.6632189, 'lng': -122.3128624}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6646041802915, 'lng': -122.3116406197085}, 'southwest': {'lat': 47.6619062197085, 'lng': -122.3143385802915}}}"
4,2023-05-31,19:15:00,19:15:00,4700 block of University Way,Armed Robbery,Four men in an SUV left southbound,ORIGINAL POST: Armed robbery reported at around 7:15 p.m. in the 4700 block of University Way. Suspects described as four men in an SUV. The four men left southbound in the SUV. Police are responding.,Original,1,5,"4700 University Way NE, Seattle, WA 98105, USA","{'location': {'lat': 47.6632189, 'lng': -122.3128624}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6646041802915, 'lng': -122.3116406197085}, 'southwest': {'lat': 47.6619062197085, 'lng': -122.3143385802915}}}"
5,2023-05-28,03:53:00,03:30:00,NE Campus Parkway & 12th Ave NE,Suspects,Three women and three men reported to have left on foot headed north/northeast,UPDATE at 3:53 a.m.: The suspects are described as three women and three men in their early teens or 20s who left on foot headed north/northeast. The suspects have not been located. More information will be provided if it becomes available.,Update,2,6,"12th Ave NE & NE Campus Pkwy, Seattle, WA 98105, USA","{'location': {'lat': 47.6562315, 'lng': -122.3155856}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 47.65758048029149, 'lng': -122.3142366197085}, 'southwest': {'lat': 47.6548825197085, 'lng': -122.3169345802915}}}"
6,2023-05-28,00:00:00,03:30:00,NE Campus Parkway & 12th Ave NE,Robbery & Assault,"Person pepper sprayed and robbed, stolen stuffed animal",ORIGINAL POST: A person reported being pepper sprayed and robbed at around 3:30 a.m. at NE Campus Parkway and 12th Avenue NE. The person is not a UW student. A stuffed animal was stolen. UWPD is on scene and searching the area.,Original,2,7,"12th Ave NE & NE Campus Pkwy, Seattle, WA 98105, USA","{'location': {'lat': 47.6562315, 'lng': -122.3155856}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 47.65758048029149, 'lng': -122.3142366197085}, 'southwest': {'lat': 47.6548825197085, 'lng': -122.3169345802915}}}"
7,2023-04-28,13:00:00,13:00:00,UW Campus,Power Surge,Alarms going off and other disruptions on campus,"A campus-wide power surge reported at around 1 p.m. has resulted in alarms going off in several campus buildings and other disruptions. There is no emergency at this time, and UW is working on turning off the alarms. We are also investigating the cause.",Original,3,8,"1410 NE Campus Pkwy, Seattle, WA 98195, USA","{'location': {'lat': 47.65464069999999, 'lng': -122.3074579}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6612139, 'lng': -122.2928524}, 'southwest': {'lat': 47.6476148, 'lng': -122.3190143}}}"
8,2023-04-21,18:09:00,16:50:00,Unknown,Suspected Person,"Below is a photo of the suspect. If you see this person, call 911.","UPDATE at 6:09 p.m.: Below is a photo of the suspect. If you see this person, call 911.",Update,4,9,"University District, Seattle, WA, USA","{'bounds': {'northeast': {'lat': 47.6743199, 'lng': -122.2864358}, 'southwest': {'lat': 47.6474201, 'lng': -122.3222372}}, 'location': {'lat': 47.6627771, 'lng': -122.3138767}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 47.6743199, 'lng': -122.2864358}, 'southwest': {'lat': 47.6474201, 'lng': -122.3222372}}}"
9,2023-04-21,17:58:00,16:50:00,Unknown,Hit on Head,Person reported being hit on head but did not need to go to hospital,UPDATE at 5:58 p.m.: The area has reopened. The person who reported being hit on the head did not need to go to the hospital.,Update,4,10,"University District, Seattle, WA, USA","{'bounds': {'northeast': {'lat': 47.6743199, 'lng': -122.2864358}, 'southwest': {'lat': 47.6474201, 'lng': -122.3222372}}, 'location': {'lat': 47.6627771, 'lng': -122.3138767}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 47.6743199, 'lng': -122.2864358}, 'southwest': {'lat': 47.6474201, 'lng': -122.3222372}}}"
