Date,Report Time,Incident Time,Nearest Address to Incident,Incident Category,Incident Summary,Incident Alert,Alert Type,Incident ID,Alert ID
10/27/22,9:02 PM,,,Police Investigation,Seattle Police investigation is still ongoing and the suspect has not been found. Remain vigilant if in the area.,UPDATE at 9:02 p.m. Seattle Police investigation is still ongoing and the suspect has not been found. Remain vigilant if in the area. Updates provided here as available.,Update,1,1
10/27/22,8:55 PM,8:35 PM,1400 NE 42nd,Armed Suspect,Armed suspect may have a gun and left the business in an unknown direction. No injuries have been reported.,"UPDATE at 8:55 p.m. A suspect, possibly armed, entered a business located at the 1400 block of NE 42nd St. around 8:35 p.m. The suspect is described as a male, in his 30s or 40s, 5-foot-7, medium build, wearing a tan hat and dark brown pants. The suspect may have a gun and left the business in an unknown direction. No injuries have been reported. Seattle Police officers are in the area.",Update,1,2
10/27/22,8:50 PM,8:35PM,1400 Block of NE 42nd St.,Attempted Robbery,Attempted armed robbery at business,"ORIGINAL POST at 8:50 p.m.: Attempted armed robbery at business at 1400 block of NE 42nd St. at 8:35pm. Avoid area. Info: alert.uw.edu

UW Advisory Seattle",Original,1,3
10/27/22,3:41 PM,,1401 NE 42nd Street,Building issue,Potential building issue,UPDATE at 3:41 p.m. Thursday: The sidewalk is taped off near 1401 NE 42nd Street (around University Way NE) due to a  potential building issue. Vehicle traffic is now open. The cause of the building issue has not yet been determined. Please use caution in the area and avoid sidewalks at the southeast corner of NE 42nd Street and University Way NE.,Update,2,4
10/27/22,3:23 PM,,NE 42nd Street & University Way,Dangerous Building,Bulging windows on a building potentially dangerous,UPDATE at 3:23 p.m. Thursday: Seattle police has blocked pedestrian and vehicle traffic near NE 42nd Street and University Way NE due to glass windows on a building at 1401 NE 42nd Street that appear to be bulging and potentially dangerous. Please avoid the area until further notice.,Update,2,5
10/27/22,3:20 PM,3:20 PM,NE 42 St./U Way NE,Pedestrian/Traffic,Danger of falling glass. Avoid area.,"ORIGINAL POST: Pedestrian, vehicle traffic stopped near NE 42 St./U Way NE. Danger of falling glass. Avoid area. Info: alert.uw.edu

Sent at 3:20pm Thu",Original,2,6
10/20/22,9:00 AM,,,Earthquake Drill,UW Alert system tested and Great ShakeOut 2022 occurred,"TEST of UW Alert system today; info on Great ShakeOut 2022

The UW Alert notification system will be tested on Thursday, Oct. 20, around 9 a.m.

Today is also Great ShakeOut 2022, an international earthquake drill. Read more about the drill, including activities in Washington state, here.

A test UW Alert message will be sent via email and text, and posted on the UW Alert Twitter feed and Facebook page, directing them to more information about preparing for earthquakes. If you don’t already receive these UW Alert notifications, sign up and learn more here.

For more resources, check out UW Emergency Management’s earthquake drill information and the international Great ShakeOut website.

In the video below, Harold Tobin, UW professor of Earth and space sciences and director of the Pacific Northwest Seismic Network, discusses seismic risks in our region.",Original,3,7
10/18/22,12:01 PM,Unknown,Portage Bay Garage,Aggravated Assault,"A man pulled a knife and scratched at the back of a truck parked in the Portage Bay Garage, then fled the area after being threatened by the person in the truck. Described as having a slim build and possibly wearing a hat or jacket.","UPDATE at 12:01 p.m. Tuesday: A person was sitting in a truck inside the Portage Bay Garage when a man knocked on the window to ask the time. The person gave him the time and then he became agitated, pulled a knife and scratched at the back of the truck. The person in the truck threatened to call the police and the man wielding the knife left the area, stabbing at a sign on the way out of the garage and fleeing northbound on 15th Ave. NE.

The man is described as having a slim build, possibly wearing a hat and possibly wearing a jacket. Please be alert to your surroundings if you are in the area.",Update,4,8
10/18/22,11:57 AM,,Portage Bay Garage,Man made threats,Pulled knife,"ORIGINAL POST: Man made threats, pulled knife in Portage Bay Garage. No injuries. Suspect fled north on 15th Ave NE. Info: alert.uw.edu

Sent @ 11:57am Tue",Original,4,9
10/9/22,6:51 AM,,,Suspicious Person,Suspect entered house through unlocked door.,"UPDATE at 6:51 a.m. Sunday: Police will continue to search for the suspect, however the area is being reopened. The man is believed to have entered through an unlocked door at the house. Please lock doors and windows, and remain vigilant. If you see the person in the photo below, please call 911.",Update,5,10
